"Descrição","Tipo de Crime"
"Um homem agride fisicamente outro homem em uma briga de bar","Agressão"
"Um grupo de adolescentes ataca verbalmente e fisicamente um colega na saída da escola","Agressão"
"Um motorista insulta e agride outro motorista após uma discussão de trânsito","Agressão"
"Um cliente irritado agride um funcionário de uma loja durante uma discussão","Agressão"
"Um indivíduo agride seu parceiro durante uma discussão doméstica","Agressão"
"Um segurança de boate agride um frequentador após uma confusão","Agressão"
"Um estudante agride outro estudante durante um conflito em sala de aula","Agressão"
"Um torcedor invade o campo e agride um jogador durante uma partida de futebol","Agressão"
"Um assaltante agride um pedestre durante um roubo","Agressão"
"Um indivíduo agride um policial durante uma abordagem","Agressão"
"Um pai agride seu filho com violência após uma discussão familiar","Agressão"
"Um morador de rua é agredido por um grupo de jovens em uma praça","Agressão"
"Um paciente agride um médico em um hospital durante uma crise emocional","Agressão"
"Um aluno agride um professor em uma escola durante uma briga","Agressão"
"Um homem agride sua esposa durante uma discussão em casa","Agressão"
"Um criminoso agride um idoso durante um assalto","Agressão"
"Um indivíduo agride verbalmente e fisicamente um estranho em um bar","Agressão"
"Um participante de uma manifestação agride um policial durante um protesto","Agressão"
"Um cliente agride um garçom em um restaurante após uma reclamação","Agressão"
"Um indivíduo agride um pedestre em uma briga de trânsito","Agressão"
"Um pai agride seu filho adolescente após uma discussão familiar","Agressão"
"Um aluno agride um colega de classe durante um confronto escolar","Agressão"
"Um motorista agride outro motorista após um acidente de trânsito","Agressão"
"Um indivíduo agride verbalmente e fisicamente um passageiro em um ônibus","Agressão"
"Um jovem agride um idoso em um parque durante uma discussão","Agressão"
"Um cliente agride um funcionário de uma loja durante um desentendimento","Agressão"
"Um criminoso agride um policial durante uma tentativa de fuga","Agressão"
"Um indivíduo agride um vizinho após uma discussão por causa do barulho","Agressão"
"Um atleta agride um árbitro durante uma partida esportiva","Agressão"
"Um pai agride seu filho por um mau comportamento","Agressão"
"Um homem agride verbal e fisicamente sua esposa em casa","Agressão"
"Um indivíduo agride um segurança em um evento público","Agressão"
"Um jovem agride um idoso durante uma discussão política","Agressão"
"Um indivíduo agride verbal e fisicamente um desconhecido na rua","Agressão"
"Um aluno agride um professor durante uma briga na escola","Agressão"
"Um homem agride sua namorada após uma discussão","Agressão"
"Um criminoso agride um policial durante uma tentativa de prisão","Agressão"
"Um indivíduo agride um vizinho após uma discussão por causa de um animal de estimação","Agressão"
"Um torcedor agride um jogador de um time adversário durante um jogo de futebol","Agressão"
"Um cliente agride verbal e fisicamente um atendente de telemarketing","Agressão"
"Um indivíduo agride um mendigo em uma praça","Agressão"
"Um homem agride verbalmente e fisicamente um estranho em um bar","Agressão"
"Um participante de uma festa agride um segurança após ser expulso","Agressão"
"Um indivíduo agride um colega de trabalho durante uma discussão","Agressão"
"Um cliente agride um caixa em um supermercado após uma discussão sobre o troco","Agressão"
"Um criminoso agride um policial durante uma operação de resgate","Agressão"
"Um pai agride seu filho por chegar tarde em casa","Agressão"
"Um indivíduo agride verbal e fisicamente um passageiro em um metrô","Agressão"
"Um indivíduo armado rouba dinheiro de um caixa de banco","Roubo"
"Um assaltante rouba joias de uma joalheria durante o horário de expediente","Roubo"
